gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000008735.13,0,2,0,0,0,0
ENSG00000015475.18,28,38,33,7,9,8
ENSG00000025708.12,11,10,11,10,4,9
ENSG00000025770.18,0,0,0,0,2,0
ENSG00000040608.13,1,1,0,0,1,0
ENSG00000054611.13,0,0,0,0,1,0
ENSG00000056487.15,0,0,2,0,0,0
ENSG00000063515.2,0,0,0,0,0,0
ENSG00000069998.12,0,1,0,1,1,1
ENSG00000070010.18,5,0,4,17,6,14
ENSG00000070371.15,0,1,1,0,6,1
ENSG00000070413.18,0,5,5,0,2,0
ENSG00000073146.15,3,2,6,0,2,0
ENSG00000073150.13,0,3,0,0,0,1
ENSG00000073169.13,4,13,3,7,3,5
ENSG00000075218.18,0,0,0,0,1,0
ENSG00000075234.16,0,0,0,0,1,1
ENSG00000075240.16,0,1,0,0,0,0
ENSG00000075275.16,0,4,4,3,2,2
ENSG00000077935.16,3,0,4,1,4,4
ENSG00000077942.17,0,0,0,0,2,0
ENSG00000079974.17,0,2,1,3,6,4
ENSG00000093000.18,2,11,4,3,1,0
ENSG00000093009.9,1,1,0,1,3,0
ENSG00000093010.11,21,16,15,5,9,3
ENSG00000093072.15,2,1,3,1,7,0
ENSG00000093100.13,0,0,0,0,0,0
ENSG00000099889.13,1,0,1,6,1,0
ENSG00000099899.14,0,0,2,2,3,5
ENSG00000099901.16,15,15,4,40,14,28
ENSG00000099904.15,2,4,1,1,2,2
ENSG00000099910.16,0,0,0,0,2,0
ENSG00000099917.17,0,0,0,0,5,0
ENSG00000099937.10,12,7,6,5,9,6
ENSG00000099940.11,0,0,0,0,0,0
ENSG00000099942.12,0,2,1,1,1,0
ENSG00000099949.18,18,22,14,12,14,8
ENSG00000099953.9,1,0,0,0,1,0
ENSG00000099954.18,0,0,0,0,1,0
ENSG00000099956.17,0,0,0,2,1,2
ENSG00000099957.16,15,17,15,0,4,0
ENSG00000099958.14,2,6,3,6,1,5
ENSG00000099960.12,0,1,1,8,3,2
ENSG00000099968.17,4,2,2,1,4,4
ENSG00000099974.7,20,20,21,64,48,78
ENSG00000099977.13,0,1,1,1,0,3
ENSG00000099984.10,0,0,0,0,0,0
ENSG00000099985.3,0,0,0,0,0,1
ENSG00000099991.16,1,0,0,0,6,0
ENSG00000099992.15,0,0,0,0,1,0
ENSG00000099994.10,0,0,0,0,3,0
ENSG00000099995.18,0,0,0,1,2,2
ENSG00000099998.17,0,0,0,1,2,1
ENSG00000099999.14,2,10,8,9,4,6
ENSG00000100003.17,4,9,5,15,15,9
ENSG00000100012.11,1,0,0,0,2,0
ENSG00000100014.19,0,0,0,0,0,0
ENSG00000100023.17,39,57,49,18,9,13
ENSG00000100024.14,0,0,0,0,2,0
ENSG00000100027.14,14,12,18,36,15,33
ENSG00000100028.11,1,1,1,7,7,4
ENSG00000100029.17,1,0,0,1,0,1
ENSG00000100030.14,1,0,0,0,4,0
ENSG00000100031.18,0,0,0,0,1,0
ENSG00000100033.16,10,13,15,0,5,1
ENSG00000100034.13,1,2,3,1,1,1
ENSG00000100036.12,4,2,7,9,7,3
ENSG00000100038.19,0,0,0,0,0,0
ENSG00000100053.9,0,0,0,0,0,0
ENSG00000100055.20,0,0,1,0,0,0
ENSG00000100056.11,0,1,1,0,0,1
ENSG00000100058.12,0,0,0,0,3,0
ENSG00000100060.17,0,0,0,0,0,0
ENSG00000100065.14,0,0,0,2,5,0
ENSG00000100068.11,0,0,0,0,2,0
ENSG00000100075.9,1,1,3,2,3,4
ENSG00000100077.14,0,0,0,0,8,0
ENSG00000100078.3,1,4,2,0,3,0
ENSG00000100079.6,0,0,0,5,4,2
ENSG00000100083.18,4,4,4,3,4,0
ENSG00000100084.14,0,0,0,0,0,1
ENSG00000100092.20,1,0,0,3,5,0
ENSG00000100095.18,0,0,0,0,3,0
ENSG00000100097.11,0,1,1,0,2,1
ENSG00000100099.20,17,20,23,5,5,5
