Gene_ID	COG_ID	COG_term	GO	Pfam_ID	Pfam_term	SwissProt_ID	SwissProt_term
fake_2M_genome_000001	-	-	-	-	-	-	-
fake_2M_genome_000002	gi|430750769|ref|YP_007213677.1|	gi|430750769|ref|YP_007213677.1| endopeptidase Clp ATP-binding regulatory subunit ClpX [Thermobacillus composti KWC4]	GO:0000166(nucleotide binding);GO:0005524(ATP binding)	CLPX_BREBN/107-308	CLPX_BREBN/107-308 C0ZAG3.1 PF07724.13;AAA_2;	sp|C5D5L4|CLPX_GEOSW	sp|C5D5L4|CLPX_GEOSW ATP-dependent Clp protease ATP-binding subunit ClpX OS=Geobacillus sp. (strain WCH70) GN=clpX PE=3 SV=1
fake_2M_genome_000003	gi|295695312|ref|YP_003588550.1|	gi|295695312|ref|YP_003588550.1| ATP-dependent Clp protease, proteolytic subunit ClpP [Kyrpidia tusciae DSM 2912]	GO:0004252(serine-type endopeptidase activity);GO:0005737(cytoplasm);GO:0005737(cytoplasm)	A0A094JMJ2_9BACL/12-193	A0A094JMJ2_9BACL/12-193 A0A094JMJ2.1 PF00574.22;CLP_protease;	sp|A4XHW0|CLPP_CALS8	sp|A4XHW0|CLPP_CALS8 ATP-dependent Clp protease proteolytic subunit OS=Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331) GN=clpP PE=3 SV=1
fake_2M_genome_000004	gi|375009751|ref|YP_004983384.1|	gi|375009751|ref|YP_004983384.1| trigger factor Tig [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0005737(cytoplasm);GO:0006457(protein folding);GO:0000413(protein peptidyl-prolyl isomerization);GO:0003755(peptidyl-prolyl cis-trans isomerase activity);GO:0003755(peptidyl-prolyl cis-trans isomerase activity)	A0A094K8Y7_9BACL/1-147	A0A094K8Y7_9BACL/1-147 A0A094K8Y7.1 PF05697.12;Trigger_N;	sp|C5D5L5|TIG_GEOSW	sp|C5D5L5|TIG_GEOSW Trigger factor OS=Geobacillus sp. (strain WCH70) GN=tig PE=3 SV=1
fake_2M_genome_000005	gi|23100124|ref|NP_693590.1|	gi|23100124|ref|NP_693590.1| hypothetical protein OB2669 [Oceanobacillus iheyensis HTE831]	GO:0003824(catalytic activity);GO:0004497(monooxygenase activity);GO:0018580(nitronate monooxygenase activity)	A0A094JPV0_9BACL/36-301	A0A094JPV0_9BACL/36-301 A0A094JPV0.1 PF03060.14;NMO;	sp|Q4L4T4|2NPD_STAHJ	sp|Q4L4T4|2NPD_STAHJ Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) GN=SH2032 PE=3 SV=1
fake_2M_genome_000006	-	-	-	-	-	-	-
fake_2M_genome_000007	gi|295695707|ref|YP_003588945.1|	gi|295695707|ref|YP_003588945.1| serine/threonine protein kinase [Kyrpidia tusciae DSM 2912]	-	C8WQN6_ALIAD/80-364	C8WQN6_ALIAD/80-364 C8WQN6.1 PF01636.22;APH;	sp|Q46189|YHG1_CLOPA	sp|Q46189|YHG1_CLOPA Uncharacterized protein in hydrogenase 1 5'region (Fragment) OS=Clostridium pasteurianum PE=3 SV=1
fake_2M_genome_000008	gi|384133956|ref|YP_005516670.1|	gi|384133956|ref|YP_005516670.1| ribonucleotide reductase [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]	GO:0016491(oxidoreductase activity);GO:0016491(oxidoreductase activity)	A0A094JMJ7_9BACL/19-269	A0A094JMJ7_9BACL/19-269 A0A094JMJ7.1 PF00268.20;Ribonuc_red_sm;	sp|Q7U2I1|RIR2H_MYCBO	sp|Q7U2I1|RIR2H_MYCBO R2-like ligand binding oxidase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=BQ2027_MB0238 PE=3 SV=1
fake_2M_genome_000009	gi|384133962|ref|YP_005516676.1|	gi|384133962|ref|YP_005516676.1| GAF modulated transcriptional regulator, LuxR family [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]	GO:0005737(cytoplasm);GO:0000160(phosphorelay signal transduction system);GO:0000160(phosphorelay signal transduction system);GO:0005515(protein binding)	D5WWU5_KYRT2/294-431	D5WWU5_KYRT2/294-431 D5WWU5.1 PF01590.25;GAF;	sp|O34723|DESR_BACSU	sp|O34723|DESR_BACSU Transcriptional regulatory protein DesR OS=Bacillus subtilis (strain 168) GN=desR PE=1 SV=1
fake_2M_genome_000010	gi|374996418|ref|YP_004971917.1|	gi|374996418|ref|YP_004971917.1| acetyl-CoA acetyltransferase [Desulfosporosinus orientis DSM 765]	GO:0006635(fatty acid beta-oxidation);GO:0003824(catalytic activity);GO:0003988(acetyl-CoA C-acyltransferase activity);GO:0006629(lipid metabolic process)	A0A094JPV8_9BACL/4-252	A0A094JPV8_9BACL/4-252 A0A094JPV8.1 PF00108.22;Thiolase_N;	sp|O32177|FADA_BACSU	sp|O32177|FADA_BACSU 3-ketoacyl-CoA thiolase OS=Bacillus subtilis (strain 168) GN=fadA PE=2 SV=1
fake_2M_genome_000011	gi|212639346|ref|YP_002315866.1|	gi|212639346|ref|YP_002315866.1| long-chain-fatty-acid--CoA ligase [Anoxybacillus flavithermus WK1]	GO:0000166(nucleotide binding);GO:0003824(catalytic activity)	A0A094M0X6_9BACL/9-419	A0A094M0X6_9BACL/9-419 A0A094M0X6.1 PF00501.27;AMP-binding;	sp|O31826|YNGI_BACSU	sp|O31826|YNGI_BACSU Putative acyl-CoA synthetase YngI OS=Bacillus subtilis (strain 168) GN=yngI PE=3 SV=1
fake_2M_genome_000012	gi|328949578|ref|YP_004366913.1|	gi|328949578|ref|YP_004366913.1| o-succinylbenzoate--CoA ligase [Marinithermus hydrothermalis DSM 14884]	GO:0004467(long-chain fatty acid-CoA ligase activity);GO:0006631(fatty acid metabolic process);GO:0000166(nucleotide binding);GO:0001676(long-chain fatty acid metabolic process);GO:0003824(catalytic activity)	A0A094JT29_9BACL/16-438	A0A094JT29_9BACL/16-438 A0A094JT29.1 PF00501.27;AMP-binding;	sp|Q5SKN9|LCFCS_THET8	sp|Q5SKN9|LCFCS_THET8 Long-chain-fatty-acid--CoA ligase OS=Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579) GN=TTHA0604 PE=1 SV=1
fake_2M_genome_000013	gi|89894306|ref|YP_517793.1|	gi|89894306|ref|YP_517793.1| hypothetical protein DSY1560 [Desulfitobacterium hafniense Y51]	GO:0000160(phosphorelay signal transduction system);GO:0003677(DNA binding);GO:0005622(intracellular)	A0A094JMK3_9BACL/262-430	A0A094JMK3_9BACL/262-430 A0A094JMK3.1 PF00158.25;Sigma54_activat;	sp|P26047|STC_CLOBE	sp|P26047|STC_CLOBE Signal-transduction and transcriptional-control protein OS=Clostridium beijerinckii GN=stc PE=4 SV=3
fake_2M_genome_000014	gi|15615687|ref|NP_243991.1|	gi|15615687|ref|NP_243991.1| hypothetical protein BH3125 [Bacillus halodurans C-125]	GO:0003677(DNA binding)	A0A094K8Z8_9BACL/1-81	A0A094K8Z8_9BACL/1-81 A0A094K8Z8.1 PF02082.19;Rrf2;	sp|O68025|Y2142_RHOCB	sp|O68025|Y2142_RHOCB Putative HTH-type transcriptional regulator rrf2-like OS=Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003) GN=RCAP_rcc02142 PE=4 SV=1
