Gene_ID	Pfam_ID	Identity	Align_Length	Mismatch	Gap	Q_start	Q_end	T_start	T_end	E_value	Score	Function
fake_2M_genome_000002	CLPX_BREBN/107-308	89.6	202	18	1	107	305	1	202	4.9e-96	357.1	CLPX_BREBN/107-308 C0ZAG3.1 PF07724.13;AAA_2;
fake_2M_genome_000003	A0A094JMJ2_9BACL/12-193	100	182	0	0	12	193	1	182	1.8e-98	364	A0A094JMJ2_9BACL/12-193 A0A094JMJ2.1 PF00574.22;CLP_protease;
fake_2M_genome_000004	A0A094K8Y7_9BACL/1-147	100	147	0	0	1	147	1	147	4.5e-73	280.8	A0A094K8Y7_9BACL/1-147 A0A094K8Y7.1 PF05697.12;Trigger_N;
fake_2M_genome_000005	A0A094JPV0_9BACL/36-301	100	266	0	0	36	301	1	266	3.3e-150	536.6	A0A094JPV0_9BACL/36-301 A0A094JPV0.1 PF03060.14;NMO;
fake_2M_genome_000007	C8WQN6_ALIAD/80-364	62.8	285	106	0	91	375	1	285	1.4e-106	392.5	C8WQN6_ALIAD/80-364 C8WQN6.1 PF01636.22;APH;
fake_2M_genome_000008	A0A094JMJ7_9BACL/19-269	100	251	0	0	19	269	1	251	2.7e-141	506.9	A0A094JMJ7_9BACL/19-269 A0A094JMJ7.1 PF00268.20;Ribonuc_red_sm;
fake_2M_genome_000009	D5WWU5_KYRT2/294-431	37.8	135	84	0	276	410	2	136	2.8e-23	115.5	D5WWU5_KYRT2/294-431 D5WWU5.1 PF01590.25;GAF;
fake_2M_genome_000010	A0A094JPV8_9BACL/4-252	99.6	249	1	0	4	252	1	249	3.8e-132	476.9	A0A094JPV8_9BACL/4-252 A0A094JPV8.1 PF00108.22;Thiolase_N;
fake_2M_genome_000011	A0A094M0X6_9BACL/9-419	99.8	411	1	0	9	419	1	411	3.5e-242	842.8	A0A094M0X6_9BACL/9-419 A0A094M0X6.1 PF00501.27;AMP-binding;
fake_2M_genome_000012	A0A094JT29_9BACL/16-438	99.5	423	2	0	12	434	1	423	1.6e-250	870.5	A0A094JT29_9BACL/16-438 A0A094JT29.1 PF00501.27;AMP-binding;
fake_2M_genome_000013	A0A094JMK3_9BACL/262-430	95.9	169	7	0	241	409	1	169	3.8e-85	321.2	A0A094JMK3_9BACL/262-430 A0A094JMK3.1 PF00158.25;Sigma54_activat;
fake_2M_genome_000014	A0A094K8Z8_9BACL/1-81	97.5	81	2	0	1	81	1	81	1.4e-36	157.9	A0A094K8Z8_9BACL/1-81 A0A094K8Z8.1 PF02082.19;Rrf2;
fake_2M_genome_000015	A0A094JPW3_9BACL/10-46	100	37	0	0	14	50	1	37	3.5e-12	75.9	A0A094JPW3_9BACL/10-46 A0A094JPW3.1 PF10055.8;DUF2292;
fake_2M_genome_000016	A0A094M0Y0_9BACL/53-250	95.5	198	9	0	53	250	1	198	1e-106	392.1	A0A094M0Y0_9BACL/53-250 A0A094M0Y0.1 PF09084.10;NMT1;
fake_2M_genome_000017	A0A094JT34_9BACL/1-324	97.5	324	8	0	1	324	1	324	6.1e-183	645.6	A0A094JT34_9BACL/1-324 A0A094JT34.1 PF00296.19;Bac_luciferase;
fake_2M_genome_000018	A0A094JMK9_9BACL/75-250	99.4	176	1	0	80	255	1	176	4.4e-92	343.2	A0A094JMK9_9BACL/75-250 A0A094JMK9.1 PF00528.21;BPD_transp_1;
fake_2M_genome_000019	A0A0A6VEZ8_9BACI/16-150	62.2	135	49	2	35	169	3	135	1.9e-40	171.8	A0A0A6VEZ8_9BACI/16-150 A0A0A6VEZ8.1 PF00005.26;ABC_tran;
fake_2M_genome_000020	F5SK01_9BACL/323-484	68.5	162	51	0	266	427	1	162	2.6e-53	215.3	F5SK01_9BACL/323-484 F5SK01.1 PF01554.17;MatE;
fake_2M_genome_000022	A0A094JPW8_9BACL/327-439	100	113	0	0	327	439	1	113	5.6e-63	247.3	A0A094JPW8_9BACL/327-439 A0A094JPW8.1 PF02518.25;HATPase_c;
fake_2M_genome_000023	A0A094M0Y6_9BACL/7-116	100	110	0	0	7	116	1	110	1.7e-55	221.5	A0A094M0Y6_9BACL/7-116 A0A094M0Y6.1 PF00072.23;Response_reg;
fake_2M_genome_000026	A0A094K909_9BACL/28-148	100	121	0	0	28	148	1	121	9.2e-67	258.5	A0A094K909_9BACL/28-148 A0A094K909.1 PF12388.7;Peptidase_M57;
fake_2M_genome_000027	A0A094JPX5_9BACL/8-181	100	174	0	0	8	181	1	174	3.3e-97	359.8	A0A094JPX5_9BACL/8-181 A0A094JPX5.1 PF01872.16;RibD_C;
fake_2M_genome_000028	B8F4R3_HAEPS/36-202	43.6	179	83	1	45	223	7	167	5.8e-34	150.2	B8F4R3_HAEPS/36-202 B8F4R3.1 PF13847.5;Methyltransf_31;
fake_2M_genome_000029	A0A094M0Z1_9BACL/1-208	99.5	208	1	0	1	208	1	208	3.2e-123	446.4	A0A094M0Z1_9BACL/1-208 A0A094M0Z1.1 PF02586.13;SRAP;
fake_2M_genome_000031	A0A094JT43_9BACL/15-215	100	201	0	0	15	215	1	201	8.1e-116	421.8	A0A094JT43_9BACL/15-215 A0A094JT43.1 PF14094.5;DUF4272;
