Gene_ID	COG_ID	Identity	Align_Length	Mismatch	Gap	Q_start	Q_end	T_start	T_end	E_value	Score	Function
fake_2M_genome_000002	gi|430750769|ref|YP_007213677.1|	84.7	412	62	1	1	411	1	412	3.8e-196	687.2	gi|430750769|ref|YP_007213677.1| endopeptidase Clp ATP-binding regulatory subunit ClpX [Thermobacillus composti KWC4]
fake_2M_genome_000003	gi|295695312|ref|YP_003588550.1|	79.1	191	40	0	1	191	1	191	8e-85	316.2	gi|295695312|ref|YP_003588550.1| ATP-dependent Clp protease, proteolytic subunit ClpP [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000004	gi|375009751|ref|YP_004983384.1|	61.6	430	159	3	1	429	1	425	1.4e-137	492.7	gi|375009751|ref|YP_004983384.1| trigger factor Tig [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000005	gi|23100124|ref|NP_693590.1|	56.5	306	130	1	6	308	9	314	9e-99	363.2	gi|23100124|ref|NP_693590.1| hypothetical protein OB2669 [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000007	gi|295695707|ref|YP_003588945.1|	64.2	564	202	0	13	576	20	583	1.8e-217	758.4	gi|295695707|ref|YP_003588945.1| serine/threonine protein kinase [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000008	gi|384133956|ref|YP_005516670.1|	63.6	308	98	1	2	295	8	315	4.9e-110	400.6	gi|384133956|ref|YP_005516670.1| ribonucleotide reductase [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000009	gi|384133962|ref|YP_005516676.1|	30.9	488	333	3	4	489	22	507	8.2e-70	267.7	gi|384133962|ref|YP_005516676.1| GAF modulated transcriptional regulator, LuxR family [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000010	gi|374996418|ref|YP_004971917.1|	75.7	383	93	0	1	383	1	383	1.8e-165	585.1	gi|374996418|ref|YP_004971917.1| acetyl-CoA acetyltransferase [Desulfosporosinus orientis DSM 765]
fake_2M_genome_000011	gi|212639346|ref|YP_002315866.1|	68.9	517	161	0	1	517	1	517	2.3e-216	754.6	gi|212639346|ref|YP_002315866.1| long-chain-fatty-acid--CoA ligase [Anoxybacillus flavithermus WK1]
fake_2M_genome_000012	gi|328949578|ref|YP_004366913.1|	68.3	480	152	0	1	480	5	484	2e-202	708.4	gi|328949578|ref|YP_004366913.1| o-succinylbenzoate--CoA ligase [Marinithermus hydrothermalis DSM 14884]
fake_2M_genome_000013	gi|89894306|ref|YP_517793.1|	40	563	303	7	15	544	35	595	3.7e-103	378.6	gi|89894306|ref|YP_517793.1| hypothetical protein DSY1560 [Desulfitobacterium hafniense Y51]
fake_2M_genome_000014	gi|15615687|ref|NP_243991.1|	58.8	136	55	1	1	135	1	136	1.2e-37	159.1	gi|15615687|ref|NP_243991.1| hypothetical protein BH3125 [Bacillus halodurans C-125]
fake_2M_genome_000015	gi|16077786|ref|NP_388600.1|	57.4	47	20	0	8	54	5	51	7e-07	55.8	gi|16077786|ref|NP_388600.1| hypothetical protein BSU07190 [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000016	gi|375009790|ref|YP_004983423.1|	49.8	315	145	3	10	311	14	328	2e-90	335.5	gi|375009790|ref|YP_004983423.1| aliphatic sulfonates family ABC transporter [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000017	gi|427716711|ref|YP_007064705.1|	68.2	381	121	0	1	381	1	381	3.4e-156	554.3	gi|427716711|ref|YP_007064705.1| alkanesulfonate monooxygenase [Calothrix sp. PCC 7507]
fake_2M_genome_000018	gi|337747336|ref|YP_004641498.1|	69.7	241	73	0	16	256	13	253	1.3e-90	335.9	gi|337747336|ref|YP_004641498.1| protein SsuC [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000019	gi|375009788|ref|YP_004983421.1|	56.6	265	103	2	15	279	6	258	3.7e-75	284.6	gi|375009788|ref|YP_004983421.1| aliphatic sulfonates import ATP-binding protein SsuB [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000020	gi|449088616|ref|YP_007421057.1|	49.3	454	226	3	15	464	10	463	2.9e-120	435.3	gi|449088616|ref|YP_007421057.1| MATE efflux [Bacillus thuringiensis serovar kurstaki str. HD73]
fake_2M_genome_000022	gi|269836214|ref|YP_003318442.1|	42.7	452	229	8	4	436	10	450	7.1e-89	330.9	gi|269836214|ref|YP_003318442.1| histidine kinase [Sphaerobacter thermophilus DSM 20745]
fake_2M_genome_000023	gi|269836215|ref|YP_003318443.1|	63.4	227	83	0	1	227	1	227	1.6e-81	305.4	gi|269836215|ref|YP_003318443.1| two component transcriptional regulator, winged helix family [Sphaerobacter thermophilus DSM 20745]
fake_2M_genome_000026	gi|374988842|ref|YP_004964337.1|	32.8	137	84	4	32	164	51	183	1.4e-10	69.3	gi|374988842|ref|YP_004964337.1| hypothetical protein SBI_06086 [Streptomyces bingchenggensis BCW-1]
fake_2M_genome_000027	gi|16081128|ref|NP_391956.1|	67.6	185	60	0	1	185	1	185	1.5e-72	275.4	gi|16081128|ref|NP_391956.1| hypothetical protein BSU40760 [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000028	gi|482886709|ref|YP_007883882.1|	44.7	264	126	3	10	272	7	251	4.3e-52	208	gi|482886709|ref|YP_007883882.1| methylase involved in ubiquinone/menaquinone biosynthesis [Mannheimia haemolytica M42548]
fake_2M_genome_000029	gi|375008502|ref|YP_004982135.1|	54.1	218	100	0	1	218	1	218	5e-67	257.3	gi|375008502|ref|YP_004982135.1| hypothetical protein [Geobacillus thermoleovorans CCB_US3_UF5]
